[9, 1, 1, 9, 1, 1, 1, 1, 23, 1, 1, 11, 1, 7, 20, 17, 15, 6, 14, 18, 18, 26, 14, 5, 15, 1, 1, 12, 17, 22, 21, 6, 10, 12, 13, 1, 13, 12, 15, 14, 16, 19, 10, 2, 1, 16, 27, 18, 3, 3]
[27, 15, 14, 11, 14, 18, 16, 11, 10, 19, 1, 4, 24, 8, 16, 16, 8, 15, 20, 24, 17, 22, 13, 20, 14, 18, 13, 32, 25, 27, 6, 15, 5, 1, 19, 7, 13, 3, 13, 18, 20, 12, 17, 27, 15, 17, 14, 14, 23, 20]
[32, 10, 13, 19, 21, 14, 18, 9, 15, 22, 27, 15, 17, 23, 4, 14, 19, 18, 24, 20, 15, 15, 13, 20, 3, 11, 19, 13, 28, 23, 17, 12, 24, 18, 3, 13, 15, 16, 27, 20, 18, 13, 21, 12, 20, 12, 16, 14, 1, 11]
[32, 16, 26, 17, 14, 24, 23, 24, 15, 8, 12, 13, 13, 21, 32, 22, 21, 11, 13, 20, 22, 16, 14, 4, 15, 18, 13, 22, 20, 29, 23, 10, 15, 17, 20, 13, 1, 14, 21, 16, 14, 11, 14, 24, 7, 21, 18, 29, 18, 10]
[32, 23, 19, 23, 24, 11, 19, 8, 20, 12, 20, 11, 10, 8, 20, 11, 11, 12, 11, 10, 15, 1, 5, 12, 28, 21, 13, 22, 10, 17, 7, 15, 15, 13, 15, 19, 12, 16, 12, 17, 10, 20, 16, 20, 27, 17, 23, 17, 22, 11]
[32, 11, 16, 22, 21, 12, 11, 25, 23, 16, 16, 16, 13, 1, 34, 16, 11, 14, 22, 16, 24, 1, 14, 18, 14, 13, 31, 15, 11, 30, 16, 18, 11, 12, 24, 16, 1, 13, 16, 7, 2, 13, 20, 12, 10, 10, 22, 22, 20, 18]
[34, 16, 19, 17, 1, 18, 25, 13, 17, 13, 15, 11, 14, 23, 14, 12, 7, 1, 1, 19, 14, 14, 14, 16, 21, 8, 14, 21, 10, 1, 18, 30, 14, 31, 13, 5, 14, 16, 14, 17, 25, 19, 11, 14, 23, 10, 14, 14, 1, 14]
[34, 18, 14, 14, 12, 30, 23, 12, 17, 23, 20, 22, 19, 19, 15, 18, 21, 14, 1, 17, 23, 22, 21, 26, 19, 13, 17, 19, 16, 15, 1, 12, 13, 12, 21, 9, 17, 10, 30, 15, 14, 21, 22, 10, 11, 10, 31, 19, 15, 2]
[34, 31, 18, 4, 31, 31, 27, 23, 20, 17, 15, 10, 20, 15, 17, 22, 18, 33, 16, 26, 14, 19, 14, 23, 18, 13, 25, 12, 11, 22, 17, 18, 15, 22, 4, 11, 19, 10, 16, 14, 22, 9, 33, 13, 18, 13, 11, 11, 10, 11]
[34, 1, 30, 11, 29, 29, 11, 21, 9, 11, 15, 18, 12, 15, 9, 16, 27, 26, 13, 17, 9, 12, 23, 15, 18, 11, 9, 22, 17, 16, 16, 23, 36, 27, 14, 18, 14, 15, 9, 15, 13, 11, 26, 14, 13, 13, 10, 11, 18, 12]
[36, 24, 29, 4, 13, 22, 14, 20, 14, 25, 18, 12, 25, 22, 21, 9, 15, 19, 14, 15, 18, 21, 18, 1, 26, 22, 19, 19, 28, 3, 1, 8, 21, 18, 13, 20, 13, 23, 10, 4, 12, 21, 19, 10, 22, 20, 20, 16, 22, 10]
[36, 31, 18, 11, 14, 15, 22, 29, 29, 26, 15, 12, 24, 1, 23, 16, 25, 36, 15, 26, 23, 14, 10, 13, 22, 12, 14, 18, 4, 18, 19, 24, 24, 16, 35, 20, 14, 15, 7, 19, 19, 15, 1, 15, 20, 18, 27, 21, 15, 2]
[36, 29, 20, 11, 17, 28, 12, 12, 34, 13, 26, 18, 21, 26, 11, 18, 21, 6, 1, 1, 17, 28, 18, 1, 18, 22, 27, 23, 30, 18, 11, 22, 8, 8, 18, 15, 31, 24, 18, 21, 18, 13, 33, 23, 24, 9, 5, 13, 9, 22]
[36, 23, 27, 33, 20, 24, 5, 18, 16, 23, 19, 18, 25, 15, 18, 15, 22, 15, 15, 21, 34, 33, 25, 14, 20, 9, 1, 14, 31, 28, 14, 1, 24, 20, 23, 20, 17, 12, 24, 36, 24, 14, 15, 9, 13, 22, 13, 32, 25, 24]
[36, 13, 16, 11, 35, 20, 21, 16, 25, 23, 13, 16, 13, 21, 17, 24, 20, 15, 20, 33, 30, 21, 24, 16, 33, 14, 30, 17, 17, 8, 19, 13, 19, 27, 30, 30, 16, 9, 29, 23, 23, 16, 16, 19, 21, 22, 10, 24, 19, 16]
[36, 17, 15, 35, 23, 23, 1, 20, 20, 18, 25, 12, 11, 25, 1, 28, 11, 21, 20, 19, 28, 23, 32, 23, 18, 12, 31, 28, 25, 26, 23, 10, 33, 15, 20, 16, 16, 27, 14, 19, 27, 25, 22, 18, 12, 10, 22, 17, 13, 24]
[36, 11, 21, 23, 26, 33, 13, 5, 21, 25, 30, 32, 21, 18, 22, 25, 24, 6, 17, 18, 27, 28, 24, 22, 16, 24, 21, 20, 20, 23, 21, 29, 16, 23, 35, 20, 20, 17, 21, 15, 22, 24, 21, 17, 19, 30, 21, 24, 14, 15]
[36, 20, 25, 1, 22, 16, 29, 13, 13, 21, 20, 23, 17, 19, 33, 14, 24, 19, 15, 24, 18, 20, 24, 19, 15, 21, 21, 31, 24, 22, 32, 25, 34, 13, 23, 14, 1, 19, 21, 1, 23, 23, 12, 13, 14, 36, 16, 22, 21, 35]
[36, 9, 15, 22, 20, 16, 18, 20, 24, 1, 24, 14, 18, 31, 18, 12, 21, 30, 14, 13, 21, 16, 19, 22, 24, 16, 32, 28, 34, 20, 26, 16, 21, 23, 28, 23, 22, 11, 28, 20, 13, 16, 21, 19, 27, 15, 13, 15, 20, 19]
[36, 21, 21, 15, 16, 1, 10, 25, 29, 18, 11, 29, 12, 28, 25, 22, 19, 19, 15, 14, 20, 20, 13, 18, 31, 31, 18, 27, 21, 4, 19, 20, 23, 23, 14, 20, 15, 14, 26, 16, 20, 24, 22, 14, 19, 18, 23, 8, 22, 22]
[36, 14, 13, 25, 12, 14, 1, 23, 14, 21, 11, 26, 18, 14, 19, 18, 30, 26, 25, 28, 15, 23, 22, 32, 21, 1, 22, 26, 10, 22, 22, 13, 17, 11, 27, 18, 11, 20, 12, 20, 29, 9, 20, 21, 19, 17, 13, 22, 13, 23]
