[18, 8, 7, 12, 7, 8, 10, 4, 1, 1, 1, 6, 7, 1, 11, 10, 5, 1, 3, 7, 2]
[18, 14, 2, 3, 11, 6, 4, 5, 10, 7, 5, 5, 4, 9, 8, 5, 1, 6, 10, 6, 1]
[18, 3, 6, 19, 2, 25, 11, 15, 3, 15, 9, 9, 1, 1, 1, 14, 6, 10, 10, 13, 15]
[25, 1, 9, 2, 1, 10, 7, 14, 6, 7, 6, 10, 17, 8, 7, 1, 27, 12, 7, 10, 7]
[27, 12, 27, 27, 8, 7, 13, 10, 19, 10, 27, 5, 15, 1, 6, 5, 27, 5, 11, 25, 25]
[27, 13, 32, 30, 12, 17, 26, 17, 30, 28, 27, 27, 5, 13, 16, 5, 13, 9, 27, 1, 16]
[32, 32, 18, 27, 7, 8, 26, 9, 19, 18, 22, 14, 27, 27, 28, 15, 27, 5, 28, 20, 21]
[32, 20, 22, 32, 33, 6, 19, 32, 5, 30, 16, 31, 23, 32, 9, 6, 24, 28, 30, 5, 26]
[33, 3, 32, 28, 26, 27, 25, 27, 18, 22, 26, 25, 4, 26, 15, 25, 20, 27, 32, 25, 22]
[33, 25, 26, 29, 29, 28, 24, 30, 24, 29, 25, 16, 17, 21, 19, 1, 28, 27, 28, 21, 25]
[33, 17, 16, 21, 22, 26, 29, 24, 25, 23, 20, 27, 29, 26, 17, 25, 22, 27, 30, 24, 23]
[33, 30, 23, 23, 18, 25, 27, 29, 30, 24, 26, 22, 24, 15, 27, 19, 28, 27, 27, 13, 29]
[33, 25, 27, 30, 29, 29, 27, 21, 23, 18, 28, 1, 26, 29, 31, 30, 28, 28, 23, 27, 31]
[33, 24, 24, 14, 30, 25, 25, 28, 23, 30, 17, 25, 28, 24, 24, 18, 16, 32, 20, 28, 22]
[33, 23, 28, 20, 21, 24, 28, 23, 27, 22, 27, 23, 26, 25, 16, 24, 15, 26, 23, 29, 28]
[33, 27, 28, 24, 19, 27, 28, 29, 28, 22, 29, 24, 29, 28, 26, 26, 21, 19, 26, 27, 24]
[33, 31, 27, 29, 28, 28, 28, 30, 28, 24, 20, 29, 25, 29, 28, 26, 19, 23, 32, 23, 20]
[33, 28, 29, 28, 28, 28, 27, 29, 32, 22, 22, 24, 21, 15, 27, 23, 23, 26, 30, 25, 25]
