[11095, 11710, 10647, 10883, 11097, 10986, 11253, 11267, 11476, 11370, 11428, 11490, 11660, 11054, 11115, 11660, 11120, 11486, 11411, 11027, 11811]
[11406, 11426, 11519, 11085, 11695, 11323, 11273, 10808, 11367, 11173, 10706, 10986, 11297, 11408, 11339, 11290, 11037, 11450, 11291, 11400, 11341]
[11273, 11264, 11611, 11272, 10998, 11333, 11213, 11722, 11045, 11273, 11236, 10948, 11437, 11421, 10986, 10460, 11449, 11432, 11324, 11496, 11424]
[11214, 11684, 11420, 11496, 11233, 11480, 11527, 10913, 11152, 11250, 11236, 11456, 11054, 11494, 10156, 11536, 11541, 11192, 11235, 11324, 11167]
[11233, 11303, 11243, 11346, 11421, 11467, 11214, 11024, 11264, 11044, 11303, 11253, 11236, 11396, 10478, 11527, 11589, 11420, 11233, 11054, 11107]
[11481, 11502, 11504, 11333, 11465, 11097, 11256, 11263, 11476, 11243, 11079, 11632, 11193, 11270, 11420, 10693, 11589, 11303, 11274, 11210, 11661]
[11569, 11340, 11321, 11513, 11328, 11374, 11238, 10847, 11019, 11137, 11155, 11333, 11049, 11509, 11462, 11190, 11274, 11338, 11420, 11502, 11420]
[10984, 11183, 11037, 11520, 11142, 11513, 11350, 11271, 11413, 11618, 11434, 11162, 11372, 11241, 11315, 11399, 11107, 11509, 11321, 11543, 11388]
[11381, 11298, 11320, 11580, 11434, 11244, 11413, 11250, 11471, 11099, 11581, 11468, 10333, 11326, 11183, 11084, 11559, 11524, 11891, 11578, 11520]
[11099, 11347, 11471, 11320, 11713, 11665, 11474, 11338, 11516, 11383, 11524, 11306, 11236, 11303, 10469, 11547, 11150, 11457, 11409, 11506, 11410]
[11256, 11370, 11150, 11398, 11420, 11478, 10559, 11484, 11083, 11412, 11350, 11597, 11410, 11002, 11387, 11551, 11536, 11326, 11561, 10941, 11300]
[11504, 11323, 11419, 10274, 11187, 11083, 11370, 11437, 11404, 11137, 11551, 11384, 11593, 11349, 11154, 11295, 11751, 10559, 11377, 11276, 11370]
[11303, 11364, 11402, 11551, 11331, 11541, 11174, 11437, 10449, 11399, 11612, 11684, 11339, 10536, 11433, 11480, 11538, 11350, 11667, 11311, 11289]
[11447, 11334, 11318, 11301, 11218, 11433, 11201, 11646, 11456, 11370, 11551, 10909, 11389, 11393, 11032, 11389, 11418, 11667, 11312, 11563, 10609]
[11560, 11496, 11609, 11511, 11221, 11288, 11402, 11646, 11443, 10881, 11359, 11040, 11443, 11560, 11541, 10461, 11370, 11736, 11479, 11329, 11479]
[11370, 11376, 11560, 11383, 11443, 11479, 11105, 11040, 11661, 11383, 11209, 11712, 11487, 11422, 11365, 11370, 11320, 11496, 11317, 11473, 11359]
[11188, 10887, 11405, 11105, 11466, 11440, 11383, 11403, 11342, 11271, 11443, 11560, 11440, 11479, 11040, 11448, 11494, 11308, 11365, 11095, 11620]
[11130, 11091, 11320, 11429, 11440, 11620, 11427, 11308, 11105, 11271, 11363, 11238, 11529, 11649, 11427, 11360, 11268, 11436, 11479, 11562, 11466]
[11419, 11043, 11308, 11791, 10460, 11455, 11440, 11089, 11469, 11453, 11123, 11200, 11502, 11404, 11440, 11565, 11538, 11242, 11281, 11479, 11434]
