[1, 4, 8, 1, 4, 7, 1, 1, 8, 1, 3, 25, 11, 1, 10, 1, 2, 8, 2, 6, 27]
[27, 1, 25, 1, 25, 1, 2, 11, 2, 22, 1, 1, 1, 22, 25, 1, 6, 3, 1, 12, 23]
[27, 25, 2, 22, 28, 33, 1, 17, 3, 9, 34, 12, 22, 4, 20, 4, 14, 1, 30, 25, 6]
[34, 30, 24, 5, 5, 1, 1, 8, 26, 33, 6, 3, 7, 17, 16, 1, 1, 7, 1, 26, 14]
[34, 14, 3, 22, 34, 20, 8, 13, 16, 18, 3, 7, 9, 25, 23, 22, 24, 26, 2, 17, 24]
[34, 25, 18, 19, 22, 1, 3, 14, 8, 32, 37, 15, 8, 1, 3, 26, 9, 13, 17, 25, 21]
[37, 17, 30, 4, 10, 16, 32, 37, 15, 33, 13, 24, 13, 11, 22, 3, 19, 1, 30, 34, 8]
[37, 6, 33, 36, 21, 33, 3, 3, 22, 2, 30, 18, 28, 4, 4, 1, 24, 8, 22, 10, 27]
[37, 6, 38, 19, 11, 18, 28, 36, 26, 15, 33, 31, 17, 26, 19, 19, 31, 31, 20, 8, 28]
[38, 5, 38, 33, 29, 9, 36, 33, 12, 33, 2, 4, 25, 34, 32, 18, 14, 23, 18, 7, 22]
[38, 33, 12, 33, 32, 27, 36, 28, 26, 32, 24, 28, 5, 37, 22, 37, 32, 17, 25, 23, 37]
[38, 6, 27, 16, 28, 34, 35, 6, 30, 11, 35, 7, 29, 31, 34, 17, 35, 28, 22, 34, 18]
[38, 22, 29, 28, 18, 39, 31, 27, 8, 37, 19, 32, 28, 12, 36, 37, 32, 12, 24, 17, 26]
[39, 22, 2, 29, 29, 19, 30, 20, 12, 37, 35, 36, 30, 30, 35, 24, 28, 21, 28, 17, 34]
[39, 19, 10, 36, 31, 22, 23, 11, 35, 13, 32, 37, 27, 24, 25, 32, 19, 28, 28, 29, 38]
[39, 21, 30, 34, 9, 36, 11, 13, 23, 22, 17, 35, 37, 29, 12, 1, 32, 37, 27, 21, 30]
[39, 17, 39, 38, 34, 24, 28, 37, 36, 13, 26, 30, 11, 40, 24, 17, 24, 34, 4, 22, 31]
[40, 21, 26, 30, 31, 15, 13, 36, 32, 19, 28, 19, 31, 33, 22, 22, 24, 10, 31, 24, 25]
[40, 32, 24, 30, 2, 37, 16, 31, 36, 25, 27, 26, 16, 34, 7, 34, 31, 29, 22, 31, 34]
[40, 31, 33, 35, 20, 27, 29, 40, 35, 34, 9, 38, 35, 36, 29, 25, 34, 32, 35, 37, 36]
[40, 35, 2, 32, 35, 10, 31, 25, 26, 24, 10, 35, 36, 6, 23, 6, 34, 29, 31, 32, 34]
[40, 23, 33, 37, 19, 32, 32, 33, 37, 38, 21, 31, 35, 39, 27, 30, 28, 23, 26, 18, 28]
[40, 37, 24, 32, 28, 30, 19, 38, 40, 37, 35, 34, 33, 34, 31, 22, 31, 29, 31, 23, 22]
[40, 37, 29, 19, 28, 30, 37, 40, 35, 25, 24, 30, 31, 27, 36, 29, 17, 39, 27, 33, 31]
[40, 37, 29, 32, 34, 19, 27, 32, 27, 35, 37, 33, 33, 16, 31, 25, 40, 30, 22, 28, 35]
[40, 36, 32, 36, 22, 25, 24, 31, 18, 35, 27, 27, 33, 36, 34, 37, 32, 40, 37, 33, 31]
[40, 26, 18, 10, 30, 35, 25, 34, 26, 20, 40, 38, 39, 33, 31, 22, 18, 29, 34, 34, 28]
